baseMean	log2FoldChange	lfcSE	pvalue	padj	ensembl_ID	symbols	descriptions	
APOBEC3H	2256.133908	-1.797609188	0.185953225	7.42E-23	2.17E-20	ENSMMUG00000001016	APOBEC3H	apolipoprotein B mRNA editing enzyme catalytic subunit 3H
STAC2	135.0387341	3.706520365	0.394126075	8.10E-23	2.34E-20	ENSMMUG00000000296	STAC2	SH3 and cysteine rich domain 2
RTD1A	107.9197573	7.583891645	0.883630425	1.29E-22	3.61E-20	ENSMMUG00000054742	RTD1A	demidefensin 2
MCAM	404.2941019	3.625506617	0.381620055	2.01E-22	5.51E-20	ENSMMUG00000004764	MCAM	melanoma cell adhesion molecule
TF	228.8461043	3.738173796	0.404463752	4.69E-22	1.21E-19	ENSMMUG00000008916	TF	transferrin
THY1	399.9463859	5.74343136	0.612463127	6.07E-22	1.47E-19	ENSMMUG00000008923	THY1	Thy-1 cell surface antigen
IL1R1	742.2304802	3.24566782	0.353809306	1.24E-21	2.85E-19	ENSMMUG00000020737	IL1R1	interleukin 1 receptor type 1
ADAMTS5	98.28406096	7.462598693	0.824635789	2.78E-21	6.23E-19	ENSMMUG00000013405	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5
CA6	382.5180069	5.486404054	0.605928732	2.99E-21	6.64E-19	ENSMMUG00000019687	CA6	carbonic anhydrase 6
KLF1	545.9117468	-5.200103462	0.630660465	4.43E-21	9.73E-19	ENSMMUG00000011230	KLF1	Kruppel like factor 1
IZUMO3	233.7285746	3.615800382	0.404740653	6.62E-21	1.41E-18	ENSMMUG00000059096	IZUMO3	IZUMO family member 3
RAB6B	338.6945205	-2.311889925	0.251834427	9.01E-21	1.90E-18	ENSMMUG00000008919	RAB6B	"RAB6B, member RAS onco family"
CA1	1552.364118	-5.270534056	0.671718156	1.07E-20	2.21E-18	ENSMMUG00000014383	CA1	carbonic anhydrase 1
MEF2C	554.2748717	-1.821401799	0.199999742	1.15E-20	2.36E-18	ENSMMUG00000019836	MEF2C	myocyte enhancer factor 2C
CDCA7L	500.0514127	2.463778187	0.271181674	2.23E-20	4.44E-18	ENSMMUG00000022766	CDCA7L	cell division cycle associated 7 like
NHSL2	272.5367867	2.390014262	0.265252263	2.50E-20	4.93E-18	ENSMMUG00000021924	NHSL2	NHS like 2
IL18R1	38.2668942	4.243430676	0.474531196	2.85E-20	5.56E-18	ENSMMUG00000009244	IL18R1	interleukin 18 receptor 1
GRK6	1170.726951	1.859492059	0.20473353	2.95E-20	5.65E-18	ENSMMUG00000019817	GRK6	G protein-coupled receptor kinase 6
CSN2	131.1714689	5.378061875	0.62416296	3.71E-20	6.98E-18	ENSMMUG00000004849	CSN2	casein beta
LAMC3	212.0285201	4.230296524	0.493478346	6.38E-20	1.17E-17	ENSMMUG00000002267	LAMC3	laminin subunit gamma 3
SCG3	36.06277592	4.536686222	0.533014625	8.77E-20	1.57E-17	ENSMMUG00000017435	SCG3	secretogranin III
NFKBID	1261.389575	2.783138698	0.320842551	1.45E-19	2.46E-17	ENSMMUG00000019756	NFKBID	NFKB inhibitor delta
AKAP1	193.2085751	1.542962098	0.17240463	1.63E-19	2.72E-17	ENSMMUG00000012644	AKAP1	A-kinase anchoring protein 1
PLEKHD1	143.1924519	3.657895982	0.430452922	3.86E-19	6.21E-17	ENSMMUG00000003240	PLEKHD1	pleckstrin homology and coiled-coil domain containing D1
SERPINB10	181.36069	5.256442643	0.69874921	4.55E-19	7.26E-17	ENSMMUG00000016618	SERPINB10	serpin family B member 10
ESR1	63.36609082	4.233684642	0.498792568	4.72E-19	7.43E-17	ENSMMUG00000019045	ESR1	estrogen receptor 1
ZNF852	231.8596348	2.76955409	0.318554696	6.25E-19	9.67E-17	ENSMMUG00000005369	ZNF852	zinc finger protein 852
SPNS3	55.48159985	3.119962947	0.362756168	6.79E-19	1.04E-16	ENSMMUG00000022857	SPNS3	sphingolipid transporter 3 (putative)
GFI1	492.0183369	3.78050946	0.44126566	7.81E-19	1.18E-16	ENSMMUG00000005068	GFI1	growth factor independent 1 transcriptional repressor
SIPA1L2	85.54317485	4.884536891	0.626480211	7.84E-19	1.18E-16	ENSMMUG00000012068	SIPA1L2	signal induced proliferation associated 1 like 2
B4GALT4	396.3684005	1.924662182	0.221667399	9.03E-19	1.33E-16	ENSMMUG00000003592	B4GALT4	"beta-1,4-galactosyltransferase 4"
RAB44	667.6153447	3.4782475	0.407176122	1.07E-18	1.55E-16	ENSMMUG00000003214	RAB44	"RAB44, member RAS oncogene family"
RNASE3	6891.74691	4.274050771	0.530050655	1.65E-18	2.36E-16	ENSMMUG00000056509	RNASE3	NA
SLC19A3	96.71539012	4.77551445	0.571332894	2.31E-18	3.23E-16	ENSMMUG00000013249	SLC19A3	solute carrier family 19 member 3
THG1L	211.2686339	-2.103035837	0.245703251	2.43E-18	3.37E-16	ENSMMUG00000050641	THG1L	tRNA-histidine guanylyltransferase 1 like
GMPR	1469.6307	-3.559136839	0.450133702	2.60E-18	3.54E-16	ENSMMUG00000002936	GMPR	guanosine monophosphate reductase
CYP11A1	212.6869071	6.29001732	1.007024313	2.82E-18	3.81E-16	ENSMMUG00000003239	CYP11A1	cytochrome P450 family 11 subfamily A member 1
MYL4	1167.724535	-5.10844184	0.608877389	3.44E-18	4.61E-16	ENSMMUG00000018600	MYL4	myosin light chain 4
FOXA3	132.6465439	3.940947371	0.470503147	4.83E-18	6.37E-16	ENSMMUG00000015438	FOXA3	forkhead box A3
LIMK2	1225.286216	1.987577207	0.234269677	4.89E-18	6.41E-16	ENSMMUG00000015001	LIMK2	LIM domain kinase 2
RTP2	128.0666166	3.97576408	0.470647463	4.95E-18	6.45E-16	ENSMMUG00000050972	RTP2	receptor transporter protein 2
TMEM190	49.36850044	4.054735387	0.499861965	6.00E-18	7.66E-16	ENSMMUG00000015900	TMEM190	transmembrane protein 190
PTGDR	34.62686116	6.604756434	0.784949247	6.32E-18	8.02E-16	ENSMMUG00000000024	PTGDR	prostaglandin D2 receptor
PTPRU	51.94504365	5.535421032	0.663617827	6.37E-18	8.04E-16	ENSMMUG00000015661	PTPRU	protein tyrosine phosphatase receptor type U
EGFL7	272.4111214	-1.880366094	0.223128035	1.03E-17	1.27E-15	ENSMMUG00000026981	EGFL7	EGF like domain multiple 7
TMEM213	163.9208403	3.90211244	0.475746631	1.37E-17	1.66E-15	ENSMMUG00000059192	TMEM213	transmembrane protein 213
HMX2	45.51087013	5.243785376	0.658391538	1.56E-17	1.86E-15	ENSMMUG00000053104	HMX2	H6 family homeobox 2
NOTCH2	530.3235059	1.893768464	0.226303767	1.62E-17	1.92E-15	ENSMMUG00000018375	NOTCH2	notch receptor 2
CELSR1	57.41362983	4.7059679	0.566053633	1.79E-17	2.12E-15	ENSMMUG00000020993	CELSR1	cadherin EGF LAG seven-pass G-type receptor 1
GYPA	6556.918836	-5.936286	0.79432182	1.90E-17	2.23E-15	ENSMMUG00000044429	GYPA	NA
SCARA5	240.6059406	3.471611657	0.423283066	1.91E-17	2.24E-15	ENSMMUG00000022044	SCARA5	scavenger receptor class A member 5
EPOR	208.2218573	-2.158995731	0.266254805	2.41E-17	2.79E-15	ENSMMUG00000038989	EPOR	erythropoietin receptor
CAP2	31.25025173	4.136014135	0.504242748	2.46E-17	2.83E-15	ENSMMUG00000001990	CAP2	cyclase associated actin cytoskeleton regulatory protein 2
PEAK3	36.14512546	3.457608906	0.418529602	2.69E-17	3.06E-15	ENSMMUG00000058897	PEAK3	PEAK family member 3
TUBB6	415.9158756	-1.883951501	0.228039391	3.72E-17	4.16E-15	ENSMMUG00000007588	TUBB6	tubulin beta 6 class V
ARID3A	38.55603803	2.293411324	0.278767935	4.33E-17	4.68E-15	ENSMMUG00000002278	ARID3A	AT-rich interaction domain 3A
FBN1	69.7774795	4.506235856	0.572395	4.36E-17	4.69E-15	ENSMMUG00000004239	FBN1	fibrillin 1
DNAH5	134.6707035	6.018936005	0.766740266	4.84E-17	5.15E-15	ENSMMUG00000011026	DNAH5	dynein axonemal heavy chain 5
SORL1	511.3431708	5.184168485	0.700182175	5.43E-17	5.76E-15	ENSMMUG00000014880	SORL1	sortilin related receptor 1
ZNF821	529.2108726	2.913738855	0.361709474	5.48E-17	5.78E-15	ENSMMUG00000016716	ZNF821	zinc finger protein 821
AHSP	4988.283796	-5.476781351	0.689051119	6.94E-17	7.20E-15	ENSMMUG00000000901	AHSP	alpha hemoglobin stabilizing protein
CCL24	5569.079563	4.721292886	0.695189052	7.20E-17	7.44E-15	ENSMMUG00000058798	CCL24	C-C motif chemokine ligand 24
PIGU	260.0063637	1.736860113	0.213112224	7.54E-17	7.76E-15	ENSMMUG00000063752	PIGU	phosphatidylinositol glycan anchor biosynthesis class U
LMLN	111.823893	3.760527464	0.48984535	8.48E-17	8.59E-15	ENSMMUG00000000051	LMLN	leishmanolysin like peptidase
GDPD5	37.8934393	4.436519715	0.55917743	8.89E-17	8.88E-15	ENSMMUG00000009022	GDPD5	glycerophosphodiester phosphodiesterase domain containing 5
ZNF853	29.8086357	6.205753013	0.843008557	9.23E-17	9.18E-15	ENSMMUG00000038892	ZNF853	zinc finger protein 853
ENKUR	109.9050615	3.457683569	0.436302384	1.03E-16	1.01E-14	ENSMMUG00000050879	ENKUR	"enkurin, TRPC channel interacting protein"
MTARC1	516.9461206	2.358514307	0.294516681	1.07E-16	1.04E-14	ENSMMUG00000057631	MTARC1	mitochondrial amidoxime reducing component 2
SIGLEC5	1577.123586	3.011279623	0.381863807	1.14E-16	1.10E-14	ENSMMUG00000012761	SIGLEC5	sialic acid binding Ig like lectin 5
MAN2B2	654.7620678	1.87133114	0.231307427	1.20E-16	1.14E-14	ENSMMUG00000005298	MAN2B2	mannosidase alpha class 2B member 2
ZSWIM9	24.78750826	4.957972545	0.625059251	1.21E-16	1.15E-14	ENSMMUG00000014592	ZSWIM9	zinc finger SWIM-type containing 9
MYO7B	55.27895886	5.667215914	0.760659218	1.44E-16	1.36E-14	ENSMMUG00000004177	MYO7B	myosin VIIB
AFF2	29.89889162	4.925973296	0.621321279	1.68E-16	1.56E-14	ENSMMUG00000000466	AFF2	AF4/FMR2 family member 2
UNC5A	26.59897396	6.617264776	0.824831563	1.72E-16	1.59E-14	ENSMMUG00000002649	UNC5A	unc-5 netrin receptor A
CEBPE	1117.089852	3.285716362	0.432526755	2.14E-16	1.98E-14	ENSMMUG00000056675	CEBPE	CCAAT enhancer binding protein epsilon
DHRS3	641.7178688	-1.911704715	0.243583458	2.25E-16	2.07E-14	ENSMMUG00000005681	DHRS3	dehydrogenase/reductase 3
NFIX	115.7574138	-2.331721198	0.291711934	2.28E-16	2.09E-14	ENSMMUG00000019292	NFIX	nuclear factor I X
MRGPRE	258.8132458	1.153172942	0.141980221	2.87E-16	2.61E-14	ENSMMUG00000011977	MRGPRE	NAD synthetase 1
DCDC2	184.7890547	3.620280193	0.464703352	4.05E-16	3.60E-14	ENSMMUG00000008452	DCDC2	doublecortin domain containing 2
FER1L6	47.17933299	4.098750233	0.537384224	4.39E-16	3.87E-14	ENSMMUG00000016375	FER1L6	fer-1 like family member 6
EFR3B	23.3479104	4.997615803	0.638217468	5.33E-16	4.59E-14	ENSMMUG00000016461	EFR3B	EFR3 homolog B
ZNF395	160.4617118	1.932627471	0.244390755	5.34E-16	4.59E-14	ENSMMUG00000060762	ZNF395	zinc finger protein 395
SPTA1	1294.244679	-5.559653659	0.889623131	5.36E-16	4.59E-14	ENSMMUG00000000730	SPTA1	"spectrin alpha, erythrocytic 1"
HEATR6	106.570333	1.39085518	0.174500296	6.74E-16	5.66E-14	ENSMMUG00000007671	HEATR6	HEAT repeat containing 6
PAEP	179.0491221	3.28093175	0.42108949	6.89E-16	5.74E-14	ENSMMUG00000017915	PAEP	progestagen-associated endometrial protein
AMPD3	1122.448288	2.896382764	0.382332786	7.42E-16	6.07E-14	ENSMMUG00000015785	AMPD3	adenosine monophosphate deaminase 3
EPB42	433.9010369	-5.675437737	0.872978468	8.45E-16	6.85E-14	ENSMMUG00000022255	EPB42	erythrocyte membrane protein band 4.2
MYH7B	47.40467886	5.368067492	0.753486048	9.20E-16	7.43E-14	ENSMMUG00000000227	MYH7B	myosin heavy chain 7B
ABCB1	602.1105809	-2.388257329	0.305191405	9.49E-16	7.60E-14	ENSMMUG00000010788	ABCB1	ATP binding cassette subfamily B member 1
FGR	2427.236964	2.753306889	0.365107982	1.03E-15	8.21E-14	ENSMMUG00000014434	FGR	"FGR proto-onco, Src family tyrosine kinase"
CD33	117.7547026	4.065534919	0.53722813	1.31E-15	1.01E-13	ENSMMUG00000009486	CD33	CD33 molecule
STEAP4	2179.530145	3.10193995	0.404474057	1.30E-15	1.01E-13	ENSMMUG00000022697	STEAP4	STEAP4 metalloreductase
DHRS7B	1092.083536	1.946240733	0.249875426	1.49E-15	1.14E-13	ENSMMUG00000013194	DHRS7B	dehydrogenase/reductase 7B
ELOVL3	32.81174306	5.400294108	0.712531029	1.57E-15	1.19E-13	ENSMMUG00000022752	ELOVL3	ELOVL fatty acid elongase 3
PLPPR3	15.6689975	9.244315514	2.787492334	1.61E-15	1.20E-13	ENSMMUG00000016456	PLPPR3	phospholipid phosphatase related 3
NXPH2	212.2667937	4.123748703	0.562478997	1.78E-15	1.32E-13	ENSMMUG00000005176	NXPH2	neurexophilin 2
KCNG1	23.89080219	7.864309178	1.402579981	2.55E-15	1.84E-13	ENSMMUG00000000683	KCNG1	potassium voltage-gated channel modifier subfamily G member 1
GYS1	439.9234867	1.749508525	0.225995165	2.69E-15	1.93E-13	ENSMMUG00000003911	GYS1	glycogen synthase 1
GRIN3B	30.93390352	6.306425682	0.89017345	3.01E-15	2.14E-13	ENSMMUG00000048135	GRIN3B	glutamate ionotropic receptor NMDA type subunit 3B
WDR76	533.8728049	2.479926224	0.328239902	3.42E-15	2.41E-13	ENSMMUG00000022774	WDR76	WD repeat domain 76
PLOD2	25.67586624	4.649987145	0.645652132	3.44E-15	2.42E-13	ENSMMUG00000011577	PLOD2	"procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"
DGAT2	371.8389856	2.068872077	0.276619025	3.58E-15	2.51E-13	ENSMMUG00000000185	DGAT2	diacylglycerol O-acyltransferase 2
EMB	2340.76295	2.522376294	0.335220917	3.91E-15	2.72E-13	ENSMMUG00000016149	EMB	embigin
B4GALT5	313.2239618	2.118978476	0.27786005	4.36E-15	3.01E-13	ENSMMUG00000002124	B4GALT5	"beta-1,4-galactosyltransferase 5"
BLVRB	6285.306327	-2.225108108	0.300419836	4.37E-15	3.01E-13	ENSMMUG00000015603	BLVRB	biliverdin reductase B
TNIK	813.7806493	-3.384535297	0.456043827	5.78E-15	3.89E-13	ENSMMUG00000022262	TNIK	TRAF2 and NCK interacting kinase
RYR2	182.3738404	3.660663273	0.548110609	5.91E-15	3.97E-13	ENSMMUG00000001060	RYR2	ryanodine receptor 2
GATA6	23.29573448	5.592018262	0.738589837	6.40E-15	4.28E-13	ENSMMUG00000010944	GATA6	GATA binding protein 6
GPT2	206.6632564	1.807282302	0.238345911	6.82E-15	4.55E-13	ENSMMUG00000003288	GPT2	glutamic--pyruvic transaminase 2
EFNB3	127.9428181	3.81083811	0.515494573	7.35E-15	4.89E-13	ENSMMUG00000048204	EFNB3	ephrin B3
PLB1	24.83160824	4.713136344	0.661332421	7.77E-15	5.14E-13	ENSMMUG00000008352	PLB1	phospholipase B1
DPYS	68.53295937	4.48545786	0.610138631	8.08E-15	5.31E-13	ENSMMUG00000010761	DPYS	dihydropyrimidinase
ERMAP	704.3823246	-3.549841451	0.4742083	8.57E-15	5.56E-13	ENSMMUG00000047471	ERMAP	erythroblast membrane associated protein
WDR90	76.29907545	3.403447618	0.462918103	9.30E-15	5.99E-13	ENSMMUG00000013169	WDR90	NA
DNHD1	134.6929442	4.798773914	0.677555844	1.06E-14	6.82E-13	ENSMMUG00000054897	DNHD1	dynein heavy chain domain 1
PKIA	202.3591526	-2.408083638	0.325962941	1.11E-14	7.07E-13	ENSMMUG00000057592	PKIA	cAMP-dependent protein kinase inhibitor alpha
MEST	56.84554939	3.587091069	0.485048464	1.38E-14	8.66E-13	ENSMMUG00000009499	MEST	mesoderm specific transcript
ADCY1	73.86824292	4.762561355	0.640716435	1.41E-14	8.82E-13	ENSMMUG00000006421	ADCY1	adenylate cyclase 1
HCAR1	126.9456566	3.462478946	0.485926389	1.53E-14	9.54E-13	ENSMMUG00000054216	HCAR1	hydroxycarboxylic acid receptor 1
ZNF530	56.32218976	3.681399792	0.517428346	1.57E-14	9.72E-13	ENSMMUG00000009294	ZNF530	zinc finger protein 530
RASGEF1C	32.24419869	5.78296552	0.86092141	1.60E-14	9.90E-13	ENSMMUG00000000635	RASGEF1C	RasGEF domain family member 1C
LYNX1	67.04380471	6.177274049	1.072281003	1.81E-14	1.10E-12	ENSMMUG00000041404	LYNX1	secreted LY6/PLAUR domain containing 2
NMU	72.33220946	3.989874547	0.539423673	1.88E-14	1.14E-12	ENSMMUG00000043692	NMU	neuromedin U
ABCC4	864.2363586	-2.084357051	0.286666504	1.91E-14	1.15E-12	ENSMMUG00000021807	ABCC4	ATP binding cassette subfamily C member 4
CASP12	294.235281	-1.720913011	0.229762803	1.92E-14	1.16E-12	ENSMMUG00000016548	CASP12	caspase 12
FCAMR	214.4059447	3.913588346	0.550458766	2.38E-14	1.41E-12	ENSMMUG00000011221	FCAMR	Fc fragment of IgA and IgM receptor
RAB27A	1157.657524	1.590391086	0.213553277	2.99E-14	1.75E-12	ENSMMUG00000020694	RAB27A	"RAB27A, member RAS onco family"
NNAT	29.51113376	4.626913915	0.652836581	3.03E-14	1.77E-12	ENSMMUG00000019174	NNAT	NA
TGM4	24.38673178	5.064166145	0.722078574	3.07E-14	1.79E-12	ENSMMUG00000058890	TGM4	transglutaminase 4
POU5F1	36.0490317	3.419089874	0.472365679	3.44E-14	1.99E-12	ENSMMUG00000015688	POU5F1	POU class 5 homeobox 1
TRHDE	52.26142107	4.854395635	0.669672184	3.64E-14	2.08E-12	ENSMMUG00000014775	TRHDE	thyrotropin releasing hormone degrading enzyme
HIP1	1189.483977	2.5286044	0.356155525	4.12E-14	2.35E-12	ENSMMUG00000005229	HIP1	huntingtin interacting protein 1
AGO3	340.3951742	1.977080708	0.271085223	4.20E-14	2.39E-12	ENSMMUG00000006252	AGO3	argonaute RISC catalytic component 3
SLC12A5	46.18600202	3.0964665	0.426692604	4.23E-14	2.40E-12	ENSMMUG00000016553	SLC12A5	solute carrier family 12 member 5
GHR	21.82351099	4.173425661	0.576892524	4.38E-14	2.47E-12	ENSMMUG00000001336	GHR	growth hormone receptor
IL17RA	1398.694624	2.420685999	0.3378578	4.39E-14	2.48E-12	ENSMMUG00000022222	IL17RA	interleukin 17 receptor A
KLHL14	16.29321646	6.079965735	0.974603477	4.75E-14	2.66E-12	ENSMMUG00000008190	KLHL14	kelch like family member 14
USP49	22.03299602	3.910383799	0.535461319	4.96E-14	2.77E-12	ENSMMUG00000012421	USP49	ubiquitin specific peptidase 49
TSPOAP1	50.1800526	4.22644207	0.614574034	5.18E-14	2.88E-12	ENSMMUG00000018087	TSPOAP1	TSPO associated protein 1
P3H3	29.61203966	6.275801528	0.907305699	5.68E-14	3.12E-12	ENSMMUG00000005189	P3H3	prolyl 3-hydroxylase 3
SERPIND1	22.30214504	5.215037781	0.769481679	6.07E-14	3.33E-12	ENSMMUG00000022169	SERPIND1	serpin family D member 1
CCDC9B	25.74553033	5.565907743	0.822133738	6.38E-14	3.48E-12	ENSMMUG00000020539	CCDC9B	coiled-coil domain containing 9B
PIH1D2	114.5486261	2.703530274	0.37457529	7.56E-14	4.10E-12	ENSMMUG00000019419	PIH1D2	PIH1 domain containing 2
SLC26A8	30.55957884	4.328196368	0.631120191	7.96E-14	4.29E-12	ENSMMUG00000008442	SLC26A8	solute carrier family 26 member 8
MYMK	143.8802591	3.475828112	0.502165556	8.24E-14	4.43E-12	ENSMMUG00000017202	MYMK	"myomaker, myoblast fusion factor"
GPM6B	56.07412679	3.831353033	0.539423114	8.80E-14	4.72E-12	ENSMMUG00000019415	GPM6B	glycoprotein M6B
KATNIP	114.407285	2.501171946	0.349270694	8.98E-14	4.81E-12	ENSMMUG00000015570	KATNIP	katanin interacting protein
DACT2	92.82073703	4.201713708	0.578676706	9.23E-14	4.93E-12	ENSMMUG00000004230	DACT2	dishevelled binding antagonist of beta catenin 2
ZSCAN32	146.8788179	2.386215361	0.332946153	1.13E-13	5.98E-12	ENSMMUG00000007564	ZSCAN32	zinc finger and SCAN domain containing 32
MANBA	767.1926908	1.455765199	0.199429424	1.14E-13	6.00E-12	ENSMMUG00000003739	MANBA	mannosidase beta
CYBB	1551.435502	1.231177439	0.169255084	1.14E-13	6.00E-12	ENSMMUG00000013220	CYBB	cytochrome b-245 beta chain
MROH2A	41.51263869	4.136360805	0.620699864	1.21E-13	6.35E-12	ENSMMUG00000021219	MROH2A	maestro heat like repeat family member 2A
PIK3R3	49.08582577	2.615234821	0.37225693	1.31E-13	6.79E-12	ENSMMUG00000015080	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3
MUC16	425.7782195	4.309051678	0.586931992	1.37E-13	7.01E-12	ENSMMUG00000064532	MUC16	NA
P2RY8	799.4067293	2.698915671	0.382828232	1.44E-13	7.34E-12	ENSMMUG00000063895	P2RY8	P2Y receptor family member 8
SLC36A4	590.6105582	2.076164043	0.289294414	1.55E-13	7.90E-12	ENSMMUG00000017741	SLC36A4	solute carrier family 36 member 4
ADCY2	40.4436339	4.660821366	0.691013417	1.63E-13	8.30E-12	ENSMMUG00000018742	ADCY2	adenylate cyclase 2
NOCT	176.2700935	1.84166994	0.256957539	1.79E-13	9.04E-12	ENSMMUG00000004983	NOCT	nocturnin
POLR2A	467.3885813	1.310061365	0.180679913	1.95E-13	9.81E-12	ENSMMUG00000023620	POLR2A	RNA polymerase II subunit A
SLITRK5	102.3856093	2.166929631	0.307257899	2.01E-13	1.00E-11	ENSMMUG00000002854	SLITRK5	SLIT and NTRK like family member 5
CCNJL	29.00077135	6.51886714	0.942660158	2.01E-13	1.00E-11	ENSMMUG00000023073	CCNJL	cyclin J like
SDR42E1	33.8758075	5.029344389	0.751292935	2.06E-13	1.02E-11	ENSMMUG00000020372	SDR42E1	"short chain dehydrogenase/reductase family 42E, member 1"
EPHB3	50.3778553	4.30738126	0.634579703	2.12E-13	1.05E-11	ENSMMUG00000003304	EPHB3	EPH receptor B3
PRRG4	144.7934372	2.538684824	0.364338067	2.16E-13	1.06E-11	ENSMMUG00000049850	PRRG4	proline rich and Gla domain 4
ZDHHC22	305.49059	4.571831439	0.628217327	2.32E-13	1.14E-11	ENSMMUG00000007561	ZDHHC22	zinc finger DHHC-type palmitoyltransferase 22
C4H6orf118	222.2576633	3.473226442	0.511261941	2.45E-13	1.20E-11	ENSMMUG00000023613	C4H6orf118	chromosome 4 C6orf118 homolog
TREM1	918.7679207	2.893206276	0.418691434	2.91E-13	1.42E-11	ENSMMUG00000003674	TREM1	triggering receptor expressed on myeloid cells 1
HEG1	57.92196474	4.563304538	0.668951754	3.06E-13	1.48E-11	ENSMMUG00000032005	HEG1	heart development protein with EGF like domains 1
NMBR	648.9771649	3.423871418	0.493560499	3.09E-13	1.48E-11	ENSMMUG00000054902	NMBR	neuromedin B receptor
HAL	55.59374203	6.916076082	1.097698931	3.17E-13	1.51E-11	ENSMMUG00000009308	HAL	histidine ammonia-lyase
CD2	1157.119206	-4.480206882	0.740453247	3.52E-13	1.67E-11	ENSMMUG00000052649	CD2	CD2 molecule
ADAM1	40.4857167	3.404158008	0.512211988	3.70E-13	1.75E-11	ENSMMUG00000059838	ADAM1	a disintegrin and metalloproteinase domain 1
FOLR1	36.13714901	4.428723506	0.669590134	3.82E-13	1.80E-11	ENSMMUG00000010455	FOLR1	folate receptor alpha
LAMC2	115.722441	3.981997034	0.564522278	4.06E-13	1.90E-11	ENSMMUG00000001479	LAMC2	laminin subunit gamma 2
UNC79	56.23310091	4.771463845	0.692793667	4.10E-13	1.92E-11	ENSMMUG00000012388	UNC79	"unc-79 homolog, NALCN channel complex subunit"
RAB40C	216.1309007	2.609974221	0.379650471	4.31E-13	2.00E-11	ENSMMUG00000038629	RAB40C	"RAB40C, member RAS onco family"
ATG9B	17.86698049	6.216528757	1.046290283	4.48E-13	2.07E-11	ENSMMUG00000054441	ATG9B	autophagy related 9B
ITPRIP	611.9536364	1.365517623	0.192855856	4.80E-13	2.20E-11	ENSMMUG00000051949	ITPRIP	"inositol 1,4,5-trisphosphate receptor interacting protein"
NLRP5	260.6301224	3.609548339	0.507354113	4.94E-13	2.26E-11	ENSMMUG00000028710	NLRP5	NLR family pyrin domain containing 5
NEURL3	110.8589295	3.931786165	0.577823675	5.02E-13	2.29E-11	ENSMMUG00000000006	NEURL3	neuralized E3 ubiquitin protein ligase 3
TOP3A	588.5997455	1.779617266	0.25452901	5.42E-13	2.46E-11	ENSMMUG00000013533	TOP3A	DNA topoisomerase III alpha
POLE	205.7030042	2.404431128	0.34970677	5.44E-13	2.46E-11	ENSMMUG00000015463	POLE	"DNA polymerase epsilon, catalytic subunit"
